"Name"	"File Extension"	"File Type"	"Is Deleted"	"Last Accessed"	"File Created"	"Last Modified"	"Size"	"Address"	"Hash Value"	"Known Status"	"Permissions"	"Full Path"
"$Secure:$SDS"	""	"r"	""	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"264940"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/$Secure:$SDS"
"$Secure:$SDS-slack"	""	"r"	""	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"1300"	"9"	"null"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/$Secure:$SDS-slack"
"$UpCase"	""	"r"	""	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"131072"	"10"	"7ff498a44e45e77374cc7c962b1b92f2"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/$UpCase"
"$UpCase:$Info"	""	"r"	""	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"32"	"10"	"null"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/$UpCase:$Info"
"$Volume"	""	"r"	""	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"2025-12-03 10:02:10 IST"	"0"	"3"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/$Volume"
"access_log.txt.txt"	".txt"	"r"	""	"2025-12-03 10:03:49 IST"	"2025-12-03 10:03:49 IST"	"2025-12-03 10:03:49 IST"	"0"	"42"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rrwxrwxrwx"	"/img_comprise.E01/Project Folder/access_log.txt.txt"
"evidence_photo.jpg.jpg"	".jpg"	"r"	""	"2025-12-03 11:04:43 IST"	"2025-12-03 11:03:55 IST"	"2025-11-06 22:41:26 IST"	"2028927"	"47"	"ff545dc086bc0c94751ff72f298f2da9"	"unknown"	"rrwxrwxrwx"	"/img_comprise.E01/Project Folder/evidence_photo.jpg.jpg"
"evidence_photo.jpg.jpg-slack"	".jpg-slack"	"r"	""	"2025-12-03 11:04:43 IST"	"2025-12-03 11:03:55 IST"	"2025-11-06 22:41:26 IST"	"2689"	"47"	"null"	"unknown"	"rrwxrwxrwx"	"/img_comprise.E01/Project Folder/evidence_photo.jpg.jpg-slack"
"evidence_photo.jpg.jpg:Zone.Identifier"	".Identifier"	"r"	""	"2025-12-03 11:04:43 IST"	"2025-12-03 11:03:55 IST"	"2025-11-06 22:41:26 IST"	"261"	"47"	"f58bb5c59a6f69ad033a01bbe43e7259"	"unknown"	"rrwxrwxrwx"	"/img_comprise.E01/Project Folder/evidence_photo.jpg.jpg:Zone.Identifier"
"hidden_note.txt.txt"	".txt"	"r"	""	"2025-12-03 10:14:44 IST"	"2025-12-03 10:14:44 IST"	"2025-12-03 10:14:44 IST"	"0"	"45"	"d41d8cd98f00b204e9800998ecf8427e"	"unknown"	"rr-xr-xr-x"	"/img_comprise.E01/Project Folder/hidden_note.txt.txt"
"WPSettings.dat"	".dat"	"r"	""	"2025-12-03 11:18:22 IST"	"2025-12-03 10:02:11 IST"	"2025-12-03 10:02:11 IST"	"12"	"37"	"3ee686fc51886f7a297967e0b6c5eb7d"	"unknown"	"rrwxrwxrwx"	"/img_comprise.E01/System Volume Information/WPSettings.dat"
"$OrphanFiles"	""	"v"	""	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0000-00-00 00:00:00"	"0"	"0"	"null"	"unknown"	"v---------"	"/img_comprise.E01/$OrphanFiles"
"evidence_photo.jpg.bmp"	".bmp"	"r"	"yes"	"2025-12-03 11:04:18 IST"	"2025-12-03 10:12:41 IST"	"2025-12-03 11:04:35 IST"	"0"	"43"	"null"	"unknown"	"r---------"	"/img_comprise.E01/Project Folder/evidence_photo.jpg.bmp"
"final_report_deleted.txt.txt"	".txt"	"r"	"yes"	"2025-12-03 10:13:31 IST"	"2025-12-03 10:13:31 IST"	"2025-12-03 10:56:09 IST"	"0"	"44"	"null"	"unknown"	"r---------"	"/img_comprise.E01/Project Folder/final_report_deleted.txt.txt"

